Sale_Date,Total_Revenue,Total_Units,Total_Margin,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Mean_14,Day_of_Week,Day_of_Month,Month,Day_Sin,Day_Cos,Trend,Actual_Revenue,Predicted_Revenue,Residual,Residual_Z,Is_Anomaly
2024-10-27,90752.38357647936,727,17817.233298755615,87822.764464847,109385.65267880716,110400.69103595216,111525.52583696308,107380.53574501298,102909.58630660122,107118.99334962353,6,27,10,-0.7818314824680299,0.6234898018587334,300,90752.38357647936,116786.72,-26034.335173520638,-2.3479062944649662,True
2024-12-16,123887.50918658364,913,25396.33052002258,104795.42766388605,103243.13789030921,91230.59915884412,98791.29463529805,110385.86637988742,100016.17852323712,105094.62544436319,0,16,12,0.0,1.0,350,123887.50918658364,108916.72,14970.790436583644,2.184514552232561,True
